"translation_id","translation_key","language_code","translation_value","is_active","module_code","sort_order","created_at","created_by","updated_at","updated_by"
1152,"FORM.FRMAPPSHELL.ROLE","en-US","Role",1,"FORM","50",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1153,"FORM.FRMAPPSHELL.ENVIRONMENT","de-CH","Umgebung:",1,"FORM","60",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1154,"FORM.FRMAPPSHELL.ENVIRONMENT","en-US","Environment",1,"FORM","60",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1155,"FORM.FRMAPPSHELL.BACKEND","de-CH","Backend",1,"FORM","70",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1156,"FORM.FRMAPPSHELL.BACKEND","en-US","Backend",1,"FORM","70",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1157,"FORM.FRMAPPDASHBOARD.TENANT","de-CH","Mandant",1,"FORM","80",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1158,"FORM.FRMAPPDASHBOARD.TENANT","en-US","Tenant",1,"FORM","80",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1159,"FORM.FRMAPPDASHBOARD.USER","de-CH","Benutzer",1,"FORM","90",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1160,"FORM.FRMAPPDASHBOARD.USER","en-US","User",1,"FORM","90",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1161,"FORM.FRMAPPDASHBOARD.BACKEND","de-CH","Backend",1,"FORM","100",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1162,"FORM.FRMAPPDASHBOARD.BACKEND","en-US","Backend",1,"FORM","100",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1163,"FORM.FRMAPPDASHBOARD.FRAMEWORK","de-CH","Framework",1,"FORM","110",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1164,"FORM.FRMAPPDASHBOARD.FRAMEWORK","en-US","Framework",1,"FORM","110",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1165,"FORM.FRMAPPDASHBOARD.STATUS","de-CH","Status",1,"FORM","120",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1166,"FORM.FRMAPPDASHBOARD.STATUS","en-US","Status",1,"FORM","120",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1167,"FORM.FRMFWNAVIGATIONADMIN.FORM_TITLE","de-CH","Navigation verwalten",1,"FORM","130",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
